"campionato","campionato_slug","girone","girone_slug","sesso","livello_competizione",,"giornata","gara","data","ora","data_testo","squadra_casa","set_casa","set_ospite","squadra_ospite","risultato","parziali","arbitro","impianto","header_giornata"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,15,"Gara 88",2026-02-21,06:30:00 PM,"Sab 21/02/2026 18.30","Max Factory - Migliarino Volley",0,3,"Polisportiva Saline","0-3","20/25 20/25 14/25","I Arbitro: Fontanabella Enzo","PALESTRA S.M. GIACOMO LEOPARDI - VIA DEL CAPANNONE 19 LOC NODICA VECCHIANO - VECCHIANO","Prima Divisione Femminile - Girone A / Giornata 15"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,15,"Gara 89",2026-02-21,09:00:00 PM,"Sab 21/02/2026 21.00","Ies Mv Tomei Livorno",0,3,"Bellaria Cappuccini Volley 1d Verde","0-3","14/25 22/25 18/25","I Arbitro: Donati Simone","PALESTRA COMANDO VVF - VIA CAMPANIA 25 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 15"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,15,"Gara 90",2026-02-21,06:00:00 PM,"Sab 21/02/2026 18.00","Folgore San Miniato",1,3,"New Volley 2019","1-3","15/25 23/25 25/22 18/25","I Arbitro: Rossano Domenico","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 15"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 91",2026-02-28,09:00:00 PM,"Sab 28/02/2026 21.00","Polisportiva Vicarello",3,0,"Volley Ponsacco","3-0","30/28 25/16 25/19","I Arbitro: Meini Luca","PALESTRA COMUNALE B. VERENINI - PIAZZA DON MILANI, 5 - COLLESALVETTI","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 92",2026-02-28,09:00:00 PM,"Sab 28/02/2026 21.00","New Volley 2019",2,3,"Volley Peccioli Senior","2-3","20/25 25/21 11/25 25/15 9/15","I Arbitro: Tartaglione Domenico","PALESTRA RODARI - PIAZZA GIOVANNI XXIII - SAN VINCENZO","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 93",2026-01-16,09:00:00 PM,"Ven 16/01/2026 21.00","Polisportiva Monteserra",3,0,"Ies Mv Tomei Livorno","3-0","25/12 25/15 25/17","I Arbitro: Meini Luca","PALASPORT MONTESERRA - Via Eroi dello Spazio - BUTI","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 94",2026-02-28,06:30:00 PM,"Sab 28/02/2026 18.30","Bellaria Cappuccini Volley 1d Verde",3,1,"Conad - Volley Project U16","3-1","25/21 16/25 25/23 25/18","I Arbitro: Zagaglia Tiziana","TENSOSTRUTTURA BELLARIA 2023 - VIALE EUROPA PONTEDERA - PONTEDERA","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 95",2026-02-28,06:00:00 PM,"Sab 28/02/2026 18.00","Folgore San Miniato",1,3,"Max Factory - Migliarino Volley","1-3","25/19 21/25 22/25 14/25","I Arbitro: Rossano Domenico","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,16,"Gara 96",2026-02-28,09:00:00 PM,"Sab 28/02/2026 21.00","Polisportiva Saline",3,1,"Unimech Volley Sei Rose","3-1","17/25 25/7 25/17 25/18","I Arbitro: Costa Stefano","PALESTRA COMUNALE - via leopardi, 1 saline di volterra - VOLTERRA","Prima Divisione Femminile - Girone A / Giornata 16"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 97",2026-03-07,09:00:00 PM,"Sab 07/03/2026 21.00","New Volley 2019",3,1,"Polisportiva Vicarello","3-1","25/20 25/17 16/25 25/17","I Arbitro: Funari Alessio","PALASPORT VIA MONTALE - VENTURINA TERME - Via Montale 1 - VENTURINA TERME - CAMPIGLIA MARITTIMA","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 98",2026-03-07,09:00:00 PM,"Sab 07/03/2026 21.00","Ies Mv Tomei Livorno",0,3,"Volley Peccioli Senior","0-3","12/25 12/25 14/25","I Arbitro: Salvadori Andrea","PALESTRA COMANDO VVF - VIA CAMPANIA 25 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 99",2026-03-07,06:00:00 PM,"Sab 07/03/2026 18.00","Max Factory - Migliarino Volley",3,2,"Polisportiva Monteserra","3-2","25/23 25/17 11/25 16/25 15/11","I Arbitro: Ago Klevis","PALESTRA S.M. GIACOMO LEOPARDI - VIA DEL CAPANNONE 19 LOC NODICA VECCHIANO - VECCHIANO","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 100",2026-03-07,06:30:00 PM,"Sab 07/03/2026 18.30","Conad - Volley Project U16",0,3,"Folgore San Miniato","0-3","15/25 20/25 22/25","I Arbitro: Paoli Franco","S.M. DEL CHICCA - VIA DUDLEY, 5 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 101",2026-03-07,06:30:00 PM,"Sab 07/03/2026 18.30","Unimech Volley Sei Rose",3,2,"Bellaria Cappuccini Volley 1d Verde","3-2","25/23 25/22 26/28 22/25 15/13","I Arbitro: Donati Simone","PALAZZETTO DELLO SPORT G. BALESTRI ROSIGNANO - VIA PISACANE, rosigNANO SOLVAY - ROSIGNANO MARITTIMO","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,17,"Gara 102",2026-03-07,09:00:00 PM,"Sab 07/03/2026 21.00","Volley Ponsacco",1,3,"Polisportiva Saline","1-3","23/25 14/25 25/22 24/26","I Arbitro: Rossano Domenico","PALESTRA POLIVALENTE - VIA MELEGNANO - PONSACCO","Prima Divisione Femminile - Girone A / Giornata 17"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 103",2026-03-14,09:00:00 PM,"Sab 14/03/2026 21.00","Volley Ponsacco",3,1,"New Volley 2019","3-1","22/25 25/15 25/13 25/22","I Arbitro: Viviani Lisa","PALESTRA POLIVALENTE - VIA MELEGNANO - PONSACCO","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 104",2026-03-14,06:00:00 PM,"Sab 14/03/2026 18.00","Folgore San Miniato",2,3,"Bellaria Cappuccini Volley 1d Verde","2-3","19/25 25/22 25/23 19/25 9/15","I Arbitro: Viviani Lisa","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 105",2026-03-14,09:00:00 PM,"Sab 14/03/2026 21.00","Polisportiva Vicarello",3,0,"Ies Mv Tomei Livorno","3-0","25/8 25/12 25/13","I Arbitro: Costa Stefano","PALESTRA COMUNALE B. VERENINI - PIAZZA DON MILANI, 5 - COLLESALVETTI","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 106",2026-03-14,06:30:00 PM,"Sab 14/03/2026 18.30","Volley Peccioli Senior",3,0,"Max Factory - Migliarino Volley","3-0","25/22 25/22 25/17","I Arbitro: Rossano Domenico","PALESTRA SCUOLA MEDIA - VIA SABATINI, 3 - PECCIOLI","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 107",2026-03-14,06:30:00 PM,"Sab 14/03/2026 18.30","Polisportiva Monteserra",3,0,"Unimech Volley Sei Rose","3-0","25/16 28/26 28/26","I Arbitro: Taddei Verdiana","PALASPORT MONTESERRA - Via Eroi dello Spazio - BUTI","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,18,"Gara 108",2026-03-13,09:00:00 PM,"Ven 13/03/2026 21.00","Polisportiva Saline",3,0,"Conad - Volley Project U16","3-0","25/11 25/8 25/16","I Arbitro: Lombardi Giampaolo","PALESTRA COMUNALE - via leopardi, 1 saline di volterra - VOLTERRA","Prima Divisione Femminile - Girone A / Giornata 18"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 109",2026-03-21,09:00:00 PM,"Sab 21/03/2026 21.00","Ies Mv Tomei Livorno",0,3,"New Volley 2019","0-3","16/25 11/25 9/25","I Arbitro: Biniaszewski Ernest","PALESTRA COMANDO VVF - VIA CAMPANIA 25 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 110",2026-03-21,06:00:00 PM,"Sab 21/03/2026 18.00","Max Factory - Migliarino Volley",3,1,"Volley Ponsacco","3-1","20/25 25/14 25/19 25/23","I Arbitro: Paoli Franco","PALESTRA S.M. GIACOMO LEOPARDI - VIA DEL CAPANNONE 19 LOC NODICA VECCHIANO - VECCHIANO","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 111",2026-03-21,06:30:00 PM,"Sab 21/03/2026 18.30","Unimech Volley Sei Rose",2,3,"Volley Peccioli Senior","2-3","26/24 19/25 25/20 17/25 11/15","I Arbitro: Piro Samuel","PALAZZETTO DELLO SPORT G. BALESTRI ROSIGNANO - VIA PISACANE, rosigNANO SOLVAY - ROSIGNANO MARITTIMO","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 112",2026-03-21,06:30:00 PM,"Sab 21/03/2026 18.30","Bellaria Cappuccini Volley 1d Verde",3,0,"Polisportiva Saline","3-0","25/21 26/24 25/20","I Arbitro: Farnesi Gabriele","TENSOSTRUTTURA BELLARIA 2023 - VIALE EUROPA PONTEDERA - PONTEDERA","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 113",2026-03-21,06:30:00 PM,"Sab 21/03/2026 18.30","Conad - Volley Project U16",1,3,"Polisportiva Vicarello","1-3","25/23 15/25 11/25 13/25","I Arbitro: Spano Francesco","S.M. DEL CHICCA - VIA DUDLEY, 5 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,19,"Gara 114",2026-03-21,09:00:00 PM,"Sab 21/03/2026 21.00","Folgore San Miniato",3,1,"Polisportiva Monteserra","3-1","25/16 25/19 21/25 28/26","I Arbitro: Ago Klevis","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 19"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 115",2025-12-13,09:15:00 PM,"Sab 13/12/2025 21.15","Volley Ponsacco",3,0,"Ies Mv Tomei Livorno","3-0","25/22 25/12 25/13","I Arbitro: Rossano Domenico","PALESTRA POLIVALENTE - VIA MELEGNANO - PONSACCO","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 116",2026-03-28,09:00:00 PM,"Sab 28/03/2026 21.00","New Volley 2019",1,3,"Max Factory - Migliarino Volley","1-3","18/25 19/25 25/20 23/25","I Arbitro: Tartaglione Domenico","PALESTRA RODARI - PIAZZA GIOVANNI XXIII - SAN VINCENZO","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 117",2026-03-28,09:00:00 PM,"Sab 28/03/2026 21.00","Polisportiva Vicarello",3,0,"Unimech Volley Sei Rose","3-0","25/20 25/15 25/21","I Arbitro: Donati Simone","PALESTRA COMUNALE B. VERENINI - PIAZZA DON MILANI, 5 - COLLESALVETTI","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 118",2026-03-27,09:15:00 PM,"Ven 27/03/2026 21.15","Polisportiva Saline",3,0,"Folgore San Miniato","3-0","25/18 25/13 25/9","I Arbitro: Viviani Vittorio","PALESTRA COMUNALE - via leopardi, 1 saline di volterra - VOLTERRA","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 119",2026-03-28,06:30:00 PM,"Sab 28/03/2026 18.30","Volley Peccioli Senior",3,0,"Bellaria Cappuccini Volley 1d Verde","3-0","25/12 25/12 25/23","I Arbitro: Lombardi Giampaolo","PALESTRA SCUOLA MEDIA - VIA SABATINI, 3 - PECCIOLI","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,20,"Gara 120",2026-03-30,09:15:00 PM,"Lun 30/03/2026 21.15","Polisportiva Monteserra",3,0,"Conad - Volley Project U16","3-0","25/16 25/19 25/20","I Arbitro: Paoli Franco","PALASPORT MONTESERRA - Via Eroi dello Spazio - BUTI","Prima Divisione Femminile - Girone A / Giornata 20"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 121",2026-04-11,06:00:00 PM,"Sab 11/04/2026 18.00","Unimech Volley Sei Rose",3,0,"Ies Mv Tomei Livorno","3-0","25/9 25/17 25/16","I Arbitro: Femia Furio Mirko","PALESTRA COMUNALE SORBETTO - LOC. SORBETTO, castelnuovo della misericordia - ROSIGNANO MARITTIMO","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 122",2026-04-11,06:00:00 PM,"Sab 11/04/2026 18.00","Max Factory - Migliarino Volley",0,3,"Polisportiva Vicarello","0-3","18/25 19/25 18/25","I Arbitro: Falaschi Alice","PALESTRA S.M. GIACOMO LEOPARDI - VIA DEL CAPANNONE 19 LOC NODICA VECCHIANO - VECCHIANO","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 123",2026-04-11,06:30:00 PM,"Sab 11/04/2026 18.30","Conad - Volley Project U16",0,3,"New Volley 2019","0-3","23/25 19/25 21/25","I Arbitro: Menzel Alessandro","S.M. DEL CHICCA - VIA DUDLEY, 5 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 124",2026-04-11,06:30:00 PM,"Sab 11/04/2026 18.30","Bellaria Cappuccini Volley 1d Verde",3,2,"Volley Ponsacco","3-2","28/26 25/21 21/25 21/25 15/13","I Arbitro: Taddei Verdiana","TENSOSTRUTTURA BELLARIA 2023 - VIALE EUROPA PONTEDERA - PONTEDERA","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 125",2026-04-11,06:00:00 PM,"Sab 11/04/2026 18.00","Folgore San Miniato",0,3,"Volley Peccioli Senior","0-3","18/25 13/25 19/25","I Arbitro: Fontanabella Enzo","PALESTRA DON VINICIO VIVALDI - piazza don vinicio vivaldi - SAN MINIATO","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,21,"Gara 126",2026-04-10,09:15:00 PM,"Ven 10/04/2026 21.15","Polisportiva Saline",3,1,"Polisportiva Monteserra","3-1","25/21 25/17 15/25 25/21","I Arbitro: Meini Luca","PALESTRA COMUNALE - via leopardi, 1 saline di volterra - VOLTERRA","Prima Divisione Femminile - Girone A / Giornata 21"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 127",2026-04-18,09:00:00 PM,"Sab 18/04/2026 21.00","Ies Mv Tomei Livorno",0,3,"Max Factory - Migliarino Volley","0-3","19/25 13/25 13/25","I Arbitro: Iodice Andrea","PALESTRA COMANDO VVF - VIA CAMPANIA 25 - LIVORNO","Prima Divisione Femminile - Girone A / Giornata 22"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 128",2026-04-18,09:00:00 PM,"Sab 18/04/2026 21.00","New Volley 2019",3,0,"Unimech Volley Sei Rose","3-0","25/23 26/24 25/16","I Arbitro: Funari Alessio","PALASPORT VIA MONTALE - VENTURINA TERME - Via Montale 1 - VENTURINA TERME - CAMPIGLIA MARITTIMA","Prima Divisione Femminile - Girone A / Giornata 22"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 129",2026-04-18,09:00:00 PM,"Sab 18/04/2026 21.00","Volley Ponsacco",3,0,"Conad - Volley Project U16","3-0","25/16 25/13 25/22","I Arbitro: Ago Klevis","PALESTRA POLIVALENTE - VIA MELEGNANO - PONSACCO","Prima Divisione Femminile - Girone A / Giornata 22"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 130",2026-04-18,06:30:00 PM,"Sab 18/04/2026 18.30","Volley Peccioli Senior",3,0,"Polisportiva Saline","3-0","25/21 25/19 25/20","I Arbitro: Petrucci Mattia","PALESTRA SCUOLA MEDIA - VIA SABATINI, 3 - PECCIOLI","Prima Divisione Femminile - Girone A / Giornata 22"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 131",2026-04-18,09:00:00 PM,"Sab 18/04/2026 21.00","Polisportiva Vicarello",3,0,"Folgore San Miniato","3-0","25/18 25/23 25/23","I Arbitro: Biniaszewski Ernest","PALESTRA COMUNALE B. VERENINI - PIAZZA DON MILANI, 5 - COLLESALVETTI","Prima Divisione Femminile - Girone A / Giornata 22"
"Prima Divisione Femminile","prima_divisione_femminile","Girone A","girone_a","femminile","territoriale",,22,"Gara 132",2026-04-18,06:30:00 PM,"Sab 18/04/2026 18.30","Polisportiva Monteserra",3,1,"Bellaria Cappuccini Volley 1d Verde","3-1","25/20 25/20 18/25 25/22","I Arbitro: Rossano Domenico","SCUOLA MEDIA D. D'AOSTA - via fucini 48 s. frediano a settimo cascina - CASCINA","Prima Divisione Femminile - Girone A / Giornata 22"
